locator,folio_id,hand,reason
"f68r2.25,@Ls;H",f68r2,,hand label is blank
"f68r2.26,@Ls;H",f68r2,,hand label is blank
"f68r2.27,@Ls;H",f68r2,,hand label is blank
"f68r2.28,@Ls;H",f68r2,,hand label is blank
"f68r2.29,@Ls;H",f68r2,,hand label is blank
"f68r2.30,@Ls;H",f68r2,,hand label is blank
"f68r2.31,@Cc;H",f68r2,,hand label is blank
"f68r3.1,@Cc;H",f68r3,,hand label is blank
"f68r3.9,@Ri;H",f68r3,,hand label is blank
"f68r3.2,@Ri;H",f68r3,,hand label is blank
"f68r3.3,@Ri;H",f68r3,,hand label is blank
"f68r3.4,@Ri;H",f68r3,,hand label is blank
"f68r3.5,@Ri;H",f68r3,,hand label is blank
"f68r3.6,@Ri;H",f68r3,,hand label is blank
"f68r3.7,@Ri;H",f68r3,,hand label is blank
"f68r3.8,@Ri;H",f68r3,,hand label is blank
"f68r3.11,@Ls;H",f68r3,,hand label is blank
"f68r3.12,@La;H",f68r3,,hand label is blank
"f68r3.10,@Ls;H",f68r3,,hand label is blank
"f68r3.14,=Ls;H",f68r3,,hand label is blank
"f68r3.13,@Ls;H",f68r3,,hand label is blank
"f68r3.17,+Ls;H",f68r3,,hand label is blank
"f68r3.16,+Ls;H",f68r3,,hand label is blank
"f68r3.15,@Ls;H",f68r3,,hand label is blank
"f68r3.20,=Ls;H",f68r3,,hand label is blank
"f68r3.18,@Ls;H",f68r3,,hand label is blank
"f68r3.21,*Ls;H",f68r3,,hand label is blank
"f68r3.19,+Ls;H",f68r3,,hand label is blank
"f68r3.22,@Cc;H",f68r3,,hand label is blank
"f68v3.1,@P0;H",f68v3,,hand label is blank
"f68v3.2,+P0;H",f68v3,,hand label is blank
"f68v3.3,+P0;H",f68v3,,hand label is blank
"f68v3.4,+P0;H",f68v3,,hand label is blank
"f68v3.5,@Cc;H",f68v3,,hand label is blank
"f68v3.11,@Ri;H",f68v3,,hand label is blank
"f68v3.10,@Ri;H",f68v3,,hand label is blank
"f68v3.9,@Ri;H",f68v3,,hand label is blank
"f68v3.8,@Ri;H",f68v3,,hand label is blank
"f68v3.7,@Ri;H",f68v3,,hand label is blank
"f68v3.6,@Ri;H",f68v3,,hand label is blank
"f68v3.13,@Ri;H",f68v3,,hand label is blank
"f68v3.12,@Ri;H",f68v3,,hand label is blank
"f68v3.14,@Cc;H",f68v3,,hand label is blank
"f68v3.15,@L0;H",f68v3,,hand label is blank
"f68v3.16,=L0;H",f68v3,,hand label is blank
"f68v3.17,@Pb;H",f68v3,,hand label is blank
"f68v3.18,+Pb;H",f68v3,,hand label is blank
"f68v3.19,+Pb;H",f68v3,,hand label is blank
"f68v2.1,@P0;H",f68v2,,hand label is blank
"f68v2.2,+P0;H",f68v2,,hand label is blank
"f68v2.3,+P0;H",f68v2,,hand label is blank
"f68v2.4,+P0;H",f68v2,,hand label is blank
"f68v2.5,+P0;H",f68v2,,hand label is blank
"f68v2.6,@Cc;H",f68v2,,hand label is blank
"f68v2.18,@Ro;H",f68v2,,hand label is blank
"f68v2.7,@Ro;H",f68v2,,hand label is blank
"f68v2.9,@Ro;H",f68v2,,hand label is blank
"f68v2.10,@Ro;H",f68v2,,hand label is blank
"f68v2.12,@Ro;H",f68v2,,hand label is blank
"f68v2.13,@Ro;H",f68v2,,hand label is blank
"f68v2.15,@Ro;H",f68v2,,hand label is blank
"f68v2.16,@Ro;H",f68v2,,hand label is blank
"f68v2.17,@Ro;H",f68v2,,hand label is blank
"f68v2.8,@Ro;H",f68v2,,hand label is blank
"f68v2.11,@Ro;H",f68v2,,hand label is blank
"f68v2.14,@Ro;H",f68v2,,hand label is blank
"f68v1.1,@Cc;H",f68v1,,hand label is blank
"f68v1.2,@Cc;H",f68v1,,hand label is blank
"f68v1.3,@Ro;H",f68v1,,hand label is blank
"f68v1.4,@Ro;H",f68v1,,hand label is blank
"f68v1.5,@Ro;H",f68v1,,hand label is blank
"f68v1.6,@Ro;H",f68v1,,hand label is blank
"f68v1.7,@Ro;H",f68v1,,hand label is blank
"f68v1.8,@Ro;H",f68v1,,hand label is blank
"f68v1.9,@Ro;H",f68v1,,hand label is blank
"f68v1.10,@Ro;H",f68v1,,hand label is blank
"f69r.1,@P0;H",f69r,,hand label is blank
"f69r.2,+P0;H",f69r,,hand label is blank
"f69r.3,+P0;H",f69r,,hand label is blank
"f69r.4,+P0;H",f69r,,hand label is blank
"f69r.11,&L0;H",f69r,,hand label is blank
"f69r.12,&L0;H",f69r,,hand label is blank
"f69r.13,&L0;H",f69r,,hand label is blank
"f69r.14,&L0;H",f69r,,hand label is blank
"f69r.15,&L0;H",f69r,,hand label is blank
"f69r.16,&L0;H",f69r,,hand label is blank
