hand,token,count,share
1,dchey,9,0.001237453595490169
1,doiin,9,0.001237453595490169
1,dshor,9,0.001237453595490169
1,sheor,9,0.001237453595490169
1,sol,9,0.001237453595490169
1,ychor,9,0.001237453595490169
1,ykaiin,9,0.001237453595490169
1,ykeey,9,0.001237453595490169
1,yty,9,0.001237453595490169
1,am,8,0.001099958751546817
1,cphol,8,0.001099958751546817
1,cthody,8,0.001099958751546817
1,cthom,8,0.001099958751546817
1,daiiin,8,0.001099958751546817
1,ksho,8,0.001099958751546817
1,oiin,8,0.001099958751546817
1,okchol,8,0.001099958751546817
1,otal,8,0.001099958751546817
1,qo,8,0.001099958751546817
1,qokchor,8,0.001099958751546817
1,qotchey,8,0.001099958751546817
1,qotcho,8,0.001099958751546817
1,qoteey,8,0.001099958751546817
1,sar,8,0.001099958751546817
1,shar,8,0.001099958751546817
1,ty,8,0.001099958751546817
1,ykol,8,0.001099958751546817
1,ytol,8,0.001099958751546817
1,ytor,8,0.001099958751546817
1,al,7,0.0009624639076034649
1,chal,7,0.0009624639076034649
1,chdy,7,0.0009624639076034649
1,chees,7,0.0009624639076034649
1,chkaiin,7,0.0009624639076034649
1,chokaiin,7,0.0009624639076034649
1,choly,7,0.0009624639076034649
1,choy,7,0.0009624639076034649
1,dsho,7,0.0009624639076034649
1,dshy,7,0.0009624639076034649
1,g,7,0.0009624639076034649
1,keol,7,0.0009624639076034649
1,l,7,0.0009624639076034649
1,otcho,7,0.0009624639076034649
1,qokor,7,0.0009624639076034649
1,qor,7,0.0009624639076034649
1,sal,7,0.0009624639076034649
1,sheaiin,7,0.0009624639076034649
1,sheo,7,0.0009624639076034649
1,shocthy,7,0.0009624639076034649
1,ychol,7,0.0009624639076034649
1,cheky,6,0.0008249690636601127
1,chkar,6,0.0008249690636601127
1,chkchy,6,0.0008249690636601127
1,chl,6,0.0008249690636601127
1,chos,6,0.0008249690636601127
1,chotaiin,6,0.0008249690636601127
1,chty,6,0.0008249690636601127
1,cphaiin,6,0.0008249690636601127
1,ct,6,0.0008249690636601127
1,cthal,6,0.0008249690636601127
1,daiir,6,0.0008249690636601127
1,ody,6,0.0008249690636601127
1,okeey,6,0.0008249690636601127
1,opchy,6,0.0008249690636601127
1,oteol,6,0.0008249690636601127
1,pchor,6,0.0008249690636601127
1,qoaiin,6,0.0008249690636601127
1,qokcho,6,0.0008249690636601127
1,sh,6,0.0008249690636601127
1,shoty,6,0.0008249690636601127
1,soiin,6,0.0008249690636601127
1,tcho,6,0.0008249690636601127
1,tor,6,0.0008249690636601127
1,cfhy,5,0.0006874742197167606
1,cheody,5,0.0006874742197167606
1,chety,5,0.0006874742197167606
1,chotol,5,0.0006874742197167606
1,chyky,5,0.0006874742197167606
1,ckhor,5,0.0006874742197167606
1,cphor,5,0.0006874742197167606
1,dary,5,0.0006874742197167606
1,dom,5,0.0006874742197167606
1,kcho,5,0.0006874742197167606
1,ochor,5,0.0006874742197167606
1,okeol,5,0.0006874742197167606
1,okeor,5,0.0006874742197167606
1,okshy,5,0.0006874742197167606
1,olol,5,0.0006874742197167606
1,oly,5,0.0006874742197167606
1,opchol,5,0.0006874742197167606
1,otam,5,0.0006874742197167606
1,otar,5,0.0006874742197167606
1,oteey,5,0.0006874742197167606
1,qockhy,5,0.0006874742197167606
1,qodal,5,0.0006874742197167606
1,qokchey,5,0.0006874742197167606
1,qokey,5,0.0006874742197167606
1,qopchy,5,0.0006874742197167606
1,qot,5,0.0006874742197167606
1,schol,5,0.0006874742197167606
