locator,folio_id,currier_language,reason
"f70r1.18,@Ri;H",f70r1,,Currier label is blank
"f70r1.19,@Ri;H",f70r1,,Currier label is blank
"f70r1.14,@Ri;H",f70r1,,Currier label is blank
"f70r2.15,@Cc;H",f70r2,,Currier label is blank
"f70r2.16,+Cc;H",f70r2,,Currier label is blank
"f70r2.17,+Cc;H",f70r2,,Currier label is blank
"f70r2.18,+Cc;H",f70r2,,Currier label is blank
"f70r2.19,@Cc;H",f70r2,,Currier label is blank
"f70r2.1,@P1;H",f70r2,,Currier label is blank
"f70r2.2,+P1;H",f70r2,,Currier label is blank
"f70r2.3,+P1;H",f70r2,,Currier label is blank
"f70r2.4,+P1;H",f70r2,,Currier label is blank
"f70r2.5,+P1;H",f70r2,,Currier label is blank
"f70r2.6,+P1;H",f70r2,,Currier label is blank
"f70r2.7,+P1;H",f70r2,,Currier label is blank
"f70r2.8,+P1;H",f70r2,,Currier label is blank
"f70r2.9,+P1;H",f70r2,,Currier label is blank
"f70r2.10,+P1;H",f70r2,,Currier label is blank
"f70r2.11,+P1;H",f70r2,,Currier label is blank
"f70r2.12,+P1;H",f70r2,,Currier label is blank
"f70r2.13,+P1;H",f70r2,,Currier label is blank
"f70r2.14,+P1;H",f70r2,,Currier label is blank
"f70v2.1,@Cc;H",f70v2,,Currier label is blank
"f70v2.5,&Lz;H",f70v2,,Currier label is blank
"f70v2.6,&Lz;H",f70v2,,Currier label is blank
"f70v2.7,&Lz;H",f70v2,,Currier label is blank
"f70v2.8,&Lz;H",f70v2,,Currier label is blank
"f70v2.9,&Lz;H",f70v2,,Currier label is blank
"f70v2.10,&Lz;H",f70v2,,Currier label is blank
"f70v2.11,&Lz;H",f70v2,,Currier label is blank
"f70v2.12,&Lz;H",f70v2,,Currier label is blank
"f70v2.13,&Lz;H",f70v2,,Currier label is blank
"f70v2.14,&Lz;H",f70v2,,Currier label is blank
"f70v2.15,&Lz;H",f70v2,,Currier label is blank
"f70v2.16,&Lz;H",f70v2,,Currier label is blank
"f70v2.17,&Lz;H",f70v2,,Currier label is blank
"f70v2.18,&Lz;H",f70v2,,Currier label is blank
"f70v2.19,&Lz;H",f70v2,,Currier label is blank
"f70v2.20,&Lz;H",f70v2,,Currier label is blank
"f70v2.2,@Lz;H",f70v2,,Currier label is blank
"f70v2.3,&Lz;H",f70v2,,Currier label is blank
"f70v2.4,&Lz;H",f70v2,,Currier label is blank
"f70v2.21,@Cc;H",f70v2,,Currier label is blank
"f70v2.23,&Lz;H",f70v2,,Currier label is blank
"f70v2.24,&Lz;H",f70v2,,Currier label is blank
"f70v2.25,&Lz;H",f70v2,,Currier label is blank
"f70v2.26,&Lz;H",f70v2,,Currier label is blank
"f70v2.27,&Lz;H",f70v2,,Currier label is blank
"f70v2.28,&Lz;H",f70v2,,Currier label is blank
"f70v2.29,&Lz;H",f70v2,,Currier label is blank
