token,count,proportion
ykedy,18,0.00048493992133196833
chdal,18,0.00048493992133196833
shed,18,0.00048493992133196833
qockhey,18,0.00048493992133196833
lshey,18,0.00048493992133196833
chocthy,17,0.0004579988145913034
yky,17,0.0004579988145913034
cham,17,0.0004579988145913034
ykchy,17,0.0004579988145913034
chky,17,0.0004579988145913034
dchey,17,0.0004579988145913034
qody,17,0.0004579988145913034
chkaiin,17,0.0004579988145913034
daldy,17,0.0004579988145913034
okeeol,17,0.0004579988145913034
ytal,17,0.0004579988145913034
chain,17,0.0004579988145913034
sheos,17,0.0004579988145913034
ory,17,0.0004579988145913034
qokair,17,0.0004579988145913034
lky,17,0.0004579988145913034
otchor,16,0.0004310577078506385
cthyplant,16,0.0004310577078506385
oar,16,0.0004310577078506385
ychor,16,0.0004310577078506385
dyplant,16,0.0004310577078506385
ty,16,0.0004310577078506385
kchdy,16,0.0004310577078506385
chdaiin,16,0.0004310577078506385
cheeo,16,0.0004310577078506385
ror,16,0.0004310577078506385
lkchedy,16,0.0004310577078506385
ols,15,0.0004041166011099736
chs,15,0.0004041166011099736
olol,15,0.0004041166011099736
sy,15,0.0004041166011099736
tchdy,15,0.0004041166011099736
ycheo,15,0.0004041166011099736
qopchdy,15,0.0004041166011099736
okody,15,0.0004041166011099736
qokeed,15,0.0004041166011099736
teol,15,0.0004041166011099736
qokaly,15,0.0004041166011099736
orol,15,0.0004041166011099736
qoeey,15,0.0004041166011099736
okeeo,15,0.0004041166011099736
ral,15,0.0004041166011099736
lchdy,15,0.0004041166011099736
tain,15,0.0004041166011099736
ykal,14,0.00037717549436930867
kair,14,0.00037717549436930867
sh,14,0.00037717549436930867
daiiin,14,0.00037717549436930867
ytor,14,0.00037717549436930867
cphol,14,0.00037717549436930867
sheeol,14,0.00037717549436930867
chokchy,14,0.00037717549436930867
ctho,14,0.00037717549436930867
ychey,14,0.00037717549436930867
ram,14,0.00037717549436930867
qotchor,14,0.00037717549436930867
opchy,14,0.00037717549436930867
ycheol,14,0.00037717549436930867
cheeor,14,0.00037717549436930867
dshey,14,0.00037717549436930867
okeo,14,0.00037717549436930867
okees,14,0.00037717549436930867
shal,14,0.00037717549436930867
chokaiin,14,0.00037717549436930867
ykeody,14,0.00037717549436930867
okeeody,14,0.00037717549436930867
aral,14,0.00037717549436930867
cphy,13,0.0003502343876286438
do,13,0.0003502343876286438
yteody,13,0.0003502343876286438
qotchol,13,0.0003502343876286438
odal,13,0.0003502343876286438
qokechy,13,0.0003502343876286438
chkeey,13,0.0003502343876286438
okchol,13,0.0003502343876286438
