token,position_class,position_count,overall_count,position_share,overall_share,overrepresentation_ratio
lkedy,line_medial,25,28,0.0009085622910306731,0.0007543509887386173,1.2044291113741616
os,line_medial,25,28,0.0009085622910306731,0.0007543509887386173,1.2044291113741616
otaiin,line_medial,133,149,0.004833551388283181,0.004014224904359071,1.204105774699967
qotain,line_medial,57,64,0.0020715220235499347,0.001724230831402554,1.2014180385957263
raiin,line_medial,65,73,0.00236226195667975,0.001966700792068538,1.2011293055895749
qokchol,line_medial,16,18,0.0005814798662596307,0.00048493992133196833,1.1990760931013873
shed,line_medial,16,18,0.0005814798662596307,0.00048493992133196833,1.1990760931013873
ykedy,line_medial,16,18,0.0005814798662596307,0.00048493992133196833,1.1990760931013873
char,line_medial,63,71,0.002289576973397296,0.0019128185785872085,1.1969650436417019
choky,line_medial,31,35,0.0011266172408780346,0.0009429387359232717,1.1947936784831683
okey,line_medial,54,61,0.0019624945486262538,0.0016434075111805592,1.1941618468181852
shol,line_medial,154,174,0.005596743712748946,0.004687752572875694,1.1939076616656057
ain,line_medial,77,87,0.002798371856374473,0.002343876286437847,1.1939076616656057
qokal,line_medial,161,182,0.005851141154237535,0.004903281426801013,1.1933113041922463
otain,line_medial,84,95,0.0030527692978630614,0.0025594051403631662,1.1927651662955905
okeedy,line_medial,90,102,0.0032708242477104232,0.0027479928875478203,1.190259357122701
chain,line_medial,15,17,0.0005451373746184038,0.0004579988145913034,1.1902593571227007
chky,line_medial,15,17,0.0005451373746184038,0.0004579988145913034,1.1902593571227007
okeeol,line_medial,15,17,0.0005451373746184038,0.0004579988145913034,1.1902593571227007
ol,line_medial,447,507,0.016245093763628433,0.013659141117517107,1.1893202964859175
lshedy,line_medial,37,42,0.001344672190725396,0.0011315264831079262,1.1883700565558393
olkedy,line_medial,22,25,0.0007995348161069923,0.0006735276685166226,1.1870853321703736
qokeedy,line_medial,264,301,0.009594417793283908,0.008109273128940137,1.1831415270801067
cthy,line_medial,78,89,0.0028347143480157,0.0023977584999191766,1.182235136737604
chedaiin,line_medial,28,32,0.001017589765954354,0.000862115415701277,1.1803405291466784
ckhy,line_medial,28,32,0.001017589765954354,0.000862115415701277,1.1803405291466784
otchedy,line_medial,28,32,0.001017589765954354,0.000862115415701277,1.1803405291466784
shar,line_medial,28,32,0.001017589765954354,0.000862115415701277,1.1803405291466784
kchdy,line_medial,14,16,0.000508794882977177,0.0004310577078506385,1.1803405291466784
qokol,line_medial,90,103,0.0032708242477104232,0.0027749339942884856,1.1787034410341308
cheky,line_medial,55,63,0.0019988370402674806,0.0016972897246618891,1.1776640200102912
qotar,line_medial,55,63,0.0019988370402674806,0.0016972897246618891,1.1776640200102912
cthol,line_medial,48,55,0.0017444395987788923,0.0014817608707365698,1.1772747095904532
qokey,line_medial,89,102,0.003234481756069196,0.0027479928875478203,1.177034253154671
qokchedy,line_medial,34,39,0.0012356447158017154,0.0010507031628859314,1.1760169374648224
okar,line_medial,108,124,0.0039249890972525075,0.0033406972358424485,1.1749011718695046
otchey,line_medial,27,31,0.0009812472743131269,0.0008351743089606121,1.1749011718695046
qokeeo,line_medial,20,23,0.0007268498328245384,0.0006196454550352928,1.173009221512227
or,line_medial,299,344,0.01086640500072685,0.009267740718788728,1.1724977349330792
okain,line_medial,119,137,0.0043247565053060035,0.003690931623471092,1.1717249048463376
okal,line_medial,111,128,0.004034016572176188,0.003448461662805108,1.1698017744221543
qokchey,line_medial,26,30,0.0009449047826718999,0.0008082332022199472,1.1690991907738528
okeey,line_medial,149,172,0.005415031254542811,0.004633870359394364,1.1685763378262795
shdy,line_medial,38,44,0.0013810146823666231,0.0011854086965892559,1.1650114313655526
okeor,line_medial,19,22,0.0006905073411833116,0.0005927043482946279,1.1650114313655526
tchey,line_medial,19,22,0.0006905073411833116,0.0005927043482946279,1.1650114313655526
tchy,line_medial,19,22,0.0006905073411833116,0.0005927043482946279,1.1650114313655526
al,line_medial,215,249,0.007813635702863789,0.006708335578425562,1.1647651807987875
qokeey,line_medial,265,307,0.009630760284925134,0.008270919769384126,1.1644122483903947
olaiin,line_medial,44,51,0.0015990696322139846,0.0013739964437739101,1.163809149186641
okaiin,line_medial,175,203,0.006359936037214711,0.005469044668354976,1.1628970730509147
chdy,line_medial,123,143,0.004470126471870912,0.003852578263915082,1.160294785894437
qokaiin,line_medial,221,257,0.00803169065271115,0.006923864432350881,1.1600011425966243
otal,line_medial,116,135,0.004215729030382323,0.0036370494099897625,1.159106889998008
shy,line_medial,78,91,0.0028347143480157,0.0024516407134005064,1.1562519469191952
oteos,line_medial,24,28,0.0008722197993894462,0.0007543509887386173,1.1562519469191952
chokaiin,line_medial,12,14,0.0004361098996947231,0.00037717549436930867,1.1562519469191952
chokchy,line_medial,12,14,0.0004361098996947231,0.00037717549436930867,1.1562519469191952
okeeody,line_medial,12,14,0.0004361098996947231,0.00037717549436930867,1.1562519469191952
ykal,line_medial,12,14,0.0004361098996947231,0.00037717549436930867,1.1562519469191952
cthor,line_medial,36,42,0.0013083296990841692,0.0011315264831079262,1.156251946919195
choty,line_medial,30,35,0.0010902747492368076,0.0009429387359232717,1.156251946919195
