section,token,section_count,overall_count,section_share,overall_share,overrepresentation_ratio
herbal,qotchor,14,14,0.0012261341741110527,0.0003687412753180394,3.325188299176738
herbal,cthaiin,12,13,0.0010509721492380452,0.00034240261279532225,3.0694045838554507
herbal,ytchor,12,13,0.0010509721492380452,0.00034240261279532225,3.0694045838554507
herbal,chotchy,11,12,0.0009633911368015414,0.0003160639502726052,3.0480892742453434
herbal,ytol,11,12,0.0009633911368015414,0.0003160639502726052,3.0480892742453434
herbal,cthor,41,45,0.0035908215098966545,0.0011852398135222693,3.029616005916584
herbal,kchy,27,30,0.002364687335785602,0.0007901598756815129,2.9926694692590647
herbal,kchor,18,20,0.0015764582238570678,0.000526773250454342,2.9926694692590647
herbal,dchor,23,26,0.0020143632860395865,0.0006848052255906445,2.941512726194807
herbal,cthy,98,111,0.008582939218777369,0.002923591540021598,2.9357518317055886
herbal,ykchy,19,22,0.0016640392362935715,0.0005794505754997761,2.871753531107183
herbal,kchol,18,21,0.0015764582238570678,0.000553111912977059,2.8501613992943478
herbal,dchy,25,30,0.002189525310912594,0.0007901598756815129,2.770990249313949
herbal,otchor,15,18,0.0013137151865475565,0.0004740959254089077,2.770990249313949
herbal,qotchy,52,63,0.004554212646698196,0.0016593357389311772,2.744599865987149
herbal,otchol,23,28,0.0020143632860395865,0.0007374825506360788,2.7314046743237492
herbal,ckhy,32,39,0.0028025923979681207,0.0010272078383859668,2.7283596300937343
herbal,chokchy,13,16,0.001138553161674549,0.0004214186003634735,2.7017154930811005
herbal,do,13,16,0.001138553161674549,0.0004214186003634735,2.7017154930811005
herbal,ty,13,16,0.001138553161674549,0.0004214186003634735,2.7017154930811005
herbal,cthol,49,61,0.0042914696093886845,0.001606658413885743,2.671052896060003
herbal,chaiin,36,45,0.0031529164477141357,0.0011852398135222693,2.6601506393413907
herbal,chom,12,15,0.0010509721492380452,0.00039507993784075645,2.6601506393413907
herbal,tchor,15,19,0.0013137151865475565,0.0005004345879316248,2.6251486572447935
herbal,tchy,18,23,0.0015764582238570678,0.0006057892380224932,2.602321277616578
herbal,qokchol,14,18,0.0012261341741110527,0.0004740959254089077,2.5862575660263523
herbal,tchol,10,13,0.0008758101243650377,0.00034240261279532225,2.557837153212876
herbal,cphy,12,16,0.0010509721492380452,0.0004214186003634735,2.493891224382554
herbal,ychor,12,16,0.0010509721492380452,0.0004214186003634735,2.493891224382554
herbal,sho,96,130,0.008407777193904361,0.0034240261279532224,2.4555236670843605
herbal,chor,160,219,0.014012961989840603,0.005768167092475044,2.4293613144670236
herbal,ckhol,16,22,0.0014012961989840604,0.0005794505754997761,2.4183187630376284
herbal,cthody,13,18,0.001138553161674549,0.0004740959254089077,2.4015248827387556
herbal,cthar,15,21,0.0013137151865475565,0.000553111912977059,2.3751344994119563
herbal,ytor,10,14,0.0008758101243650377,0.0003687412753180394,2.375134499411956
herbal,kchdy,14,20,0.0012261341741110527,0.000526773250454342,2.3276318094237167
herbal,okchor,14,20,0.0012261341741110527,0.000526773250454342,2.3276318094237167
herbal,ytchy,14,20,0.0012261341741110527,0.000526773250454342,2.3276318094237167
herbal,dchol,18,26,0.0015764582238570678,0.0006848052255906445,2.3020534378915882
herbal,shor,67,97,0.005867927833245752,0.0025548502647035586,2.2967795468540357
herbal,yky,13,19,0.001138553161674549,0.0005004345879316248,2.2751288362788213
herbal,chy,105,155,0.009196006305832895,0.00408249269102115,2.252546912345532
herbal,yty,16,24,0.0014012961989840604,0.0006321279005452104,2.216792199451159
herbal,chocthy,12,18,0.0010509721492380452,0.0004740959254089077,2.216792199451159
herbal,shy,71,107,0.0062182518829917675,0.0028182368899307294,2.206433357397649
herbal,qotor,19,29,0.0016640392362935715,0.0007638212131587958,2.178571644288208
