section,token,section_share,overall_share
astronomical,otchdy,0.002352941176470588,0.0007901598756815129
astronomical,otcheodar,0.001176470588235294,2.6338662522717095e-05
astronomical,otcheody,0.001176470588235294,5.267732504543419e-05
astronomical,otcheoly,0.001176470588235294,2.6338662522717095e-05
astronomical,otchl,0.001176470588235294,2.6338662522717095e-05
astronomical,otchodal,0.001176470588235294,2.6338662522717095e-05
astronomical,otchody,0.001176470588235294,0.0001580319751363026
astronomical,otchoky,0.001176470588235294,5.267732504543419e-05
astronomical,otchos,0.001176470588235294,0.00010535465009086838
astronomical,otchoy,0.001176470588235294,2.6338662522717095e-05
astronomical,otchy,0.001176470588235294,0.0012642558010904207
astronomical,otcsdo,0.001176470588235294,2.6338662522717095e-05
astronomical,otcsey,0.001176470588235294,2.6338662522717095e-05
astronomical,otechodor,0.001176470588235294,2.6338662522717095e-05
astronomical,otechs,0.001176470588235294,2.6338662522717095e-05
astronomical,otechy,0.001176470588235294,0.00010535465009086838
astronomical,oteeeor,0.001176470588235294,2.6338662522717095e-05
astronomical,oteees,0.001176470588235294,7.90159875681513e-05
astronomical,oteeody,0.002352941176470588,0.00028972528774988805
astronomical,oteeol,0.001176470588235294,0.00023704796270445386
astronomical,oteeos,0.0035294117647058825,0.000263386625227171
astronomical,otees,0.001176470588235294,0.000263386625227171
astronomical,oteesy,0.001176470588235294,2.6338662522717095e-05
astronomical,oteey,0.009411764705882352,0.0036874127531803936
astronomical,oteeys,0.001176470588235294,5.267732504543419e-05
astronomical,oteo,0.002352941176470588,0.00034240261279532225
astronomical,oteochedy,0.001176470588235294,2.6338662522717095e-05
astronomical,oteodaiin,0.0035294117647058825,0.00021070930018173676
astronomical,oteodain,0.001176470588235294,2.6338662522717095e-05
astronomical,oteodal,0.001176470588235294,0.0001580319751363026
astronomical,oteodched,0.001176470588235294,2.6338662522717095e-05
astronomical,oteol,0.001176470588235294,0.001106223825954118
astronomical,oteool,0.001176470588235294,2.6338662522717095e-05
astronomical,oteos,0.002352941176470588,0.0007638212131587958
astronomical,oteotey,0.001176470588235294,0.00010535465009086838
astronomical,oteoys,0.001176470588235294,2.6338662522717095e-05
astronomical,otey,0.002352941176470588,0.0015013037637948744
astronomical,oteydy,0.001176470588235294,2.6338662522717095e-05
astronomical,otgoldl,0.001176470588235294,2.6338662522717095e-05
astronomical,otochedy,0.001176470588235294,5.267732504543419e-05
astronomical,otocs,0.001176470588235294,2.6338662522717095e-05
astronomical,otodaiin,0.001176470588235294,0.0001316933126135855
astronomical,otokeedar,0.001176470588235294,2.6338662522717095e-05
astronomical,otoky,0.001176470588235294,7.90159875681513e-05
astronomical,otol,0.0035294117647058825,0.00226512497695367
astronomical,otolchcthy,0.001176470588235294,2.6338662522717095e-05
astronomical,otoldos,0.001176470588235294,2.6338662522717095e-05
astronomical,otolor,0.001176470588235294,5.267732504543419e-05
astronomical,otor,0.0035294117647058825,0.0012115784760449865
astronomical,otorkeol,0.001176470588235294,2.6338662522717095e-05
astronomical,otory,0.001176470588235294,0.00010535465009086838
astronomical,otosey,0.001176470588235294,2.6338662522717095e-05
astronomical,otoshol,0.001176470588235294,2.6338662522717095e-05
astronomical,oty,0.001176470588235294,0.003028946190112466
astronomical,otychdy,0.001176470588235294,2.6338662522717095e-05
astronomical,otydm,0.001176470588235294,2.6338662522717095e-05
astronomical,otydy,0.001176470588235294,7.90159875681513e-05
astronomical,otykchs,0.001176470588235294,2.6338662522717095e-05
astronomical,otys,0.001176470588235294,2.6338662522717095e-05
astronomical,oydchy,0.001176470588235294,2.6338662522717095e-05
astronomical,pchodais,0.001176470588235294,2.6338662522717095e-05
astronomical,pchody,0.001176470588235294,0.0001316933126135855
astronomical,psheody,0.001176470588235294,0.0001316933126135855
astronomical,qaear,0.001176470588235294,2.6338662522717095e-05
astronomical,qeykeey,0.001176470588235294,2.6338662522717095e-05
astronomical,qkoy,0.001176470588235294,2.6338662522717095e-05
astronomical,qochecthm,0.001176470588235294,2.6338662522717095e-05
astronomical,qocheey,0.001176470588235294,5.267732504543419e-05
astronomical,qockheol,0.001176470588235294,7.90159875681513e-05
astronomical,qockhy,0.001176470588235294,0.0005004345879316248
astronomical,qoeeckhy,0.001176470588235294,2.6338662522717095e-05
astronomical,qoeeey,0.001176470588235294,0.0001843706376590197
astronomical,qoekshg,0.001176470588235294,2.6338662522717095e-05
astronomical,qofair,0.001176470588235294,5.267732504543419e-05
astronomical,qofchy,0.001176470588235294,5.267732504543419e-05
astronomical,qoikeey,0.001176470588235294,2.6338662522717095e-05
astronomical,qokchdar,0.001176470588235294,2.6338662522717095e-05
astronomical,qokchdy,0.002352941176470588,0.0014749651012721575
