token,position_class,position_count,overall_count,position_share,overall_share,overrepresentation_ratio
chor,line_initial,13,219,0.0029579067121729237,0.005768167092475044,0.5127983750733762
ol,line_initial,31,539,0.007053469852104664,0.014196539099744516,0.49684432258786226
chol,line_initial,19,396,0.004323094425483504,0.01043011035899597,0.4144821364957884
she,line_medial,25,25,0.0008813678829543451,0.0006584665630679274,1.338515776485105
keody,line_medial,22,22,0.0007756037369998237,0.0005794505754997761,1.338515776485105
shear,line_medial,21,21,0.0007403490216816499,0.000553111912977059,1.338515776485105
qockhey,line_medial,18,18,0.0006345848757271285,0.0004740959254089077,1.338515776485105
chdaiin,line_medial,16,16,0.0005640754450907809,0.0004214186003634735,1.338515776485105
chckhdy,line_medial,13,13,0.0004583112991362595,0.00034240261279532225,1.338515776485105
chkal,line_medial,13,13,0.0004583112991362595,0.00034240261279532225,1.338515776485105
key,line_medial,13,13,0.0004583112991362595,0.00034240261279532225,1.338515776485105
shee,line_medial,13,13,0.0004583112991362595,0.00034240261279532225,1.338515776485105
teedy,line_medial,13,13,0.0004583112991362595,0.00034240261279532225,1.338515776485105
chokain,line_medial,11,11,0.00038780186849991186,0.00028972528774988805,1.338515776485105
chotar,line_medial,11,11,0.00038780186849991186,0.00028972528774988805,1.338515776485105
keeey,line_medial,11,11,0.00038780186849991186,0.00028972528774988805,1.338515776485105
otedar,line_medial,11,11,0.00038780186849991186,0.00028972528774988805,1.338515776485105
oteeody,line_medial,11,11,0.00038780186849991186,0.00028972528774988805,1.338515776485105
qodain,line_medial,11,11,0.00038780186849991186,0.00028972528774988805,1.338515776485105
tey,line_medial,11,11,0.00038780186849991186,0.00028972528774988805,1.338515776485105
shckhy,line_medial,60,60,0.0021152829190904283,0.0015803197513630258,1.3385157764851048
sheo,line_medial,47,47,0.0016569716199541689,0.0012379171385677036,1.3385157764851048
chedar,line_medial,30,30,0.0010576414595452142,0.0007901598756815129,1.3385157764851048
aiir,line_medial,23,23,0.0008108584523179975,0.0006057892380224932,1.3385157764851048
chdal,line_medial,19,19,0.0006698395910453023,0.0005004345879316248,1.3385157764851048
cphol,line_medial,15,15,0.0005288207297726071,0.00039507993784075645,1.3385157764851048
qoeey,line_medial,15,15,0.0005288207297726071,0.00039507993784075645,1.3385157764851048
qopchdy,line_medial,15,15,0.0005288207297726071,0.00039507993784075645,1.3385157764851048
shal,line_medial,15,15,0.0005288207297726071,0.00039507993784075645,1.3385157764851048
shedaiin,line_medial,15,15,0.0005288207297726071,0.00039507993784075645,1.3385157764851048
cheeor,line_medial,14,14,0.0004935660144544333,0.0003687412753180394,1.3385157764851048
cheeody,line_medial,12,12,0.00042305658381808567,0.0003160639502726052,1.3385157764851048
qoteol,line_medial,12,12,0.00042305658381808567,0.0003160639502726052,1.3385157764851048
shckhey,line_medial,12,12,0.00042305658381808567,0.0003160639502726052,1.3385157764851048
checkhey,line_medial,10,10,0.00035254715318173806,0.000263386625227171,1.3385157764851048
ct,line_medial,10,10,0.00035254715318173806,0.000263386625227171,1.3385157764851048
ctheol,line_medial,10,10,0.00035254715318173806,0.000263386625227171,1.3385157764851048
qopchey,line_medial,10,10,0.00035254715318173806,0.000263386625227171,1.3385157764851048
cheo,line_medial,64,65,0.0022563017803631236,0.0017120130639766112,1.317923226077642
checkhy,line_medial,46,47,0.001621716904635995,0.0012379171385677036,1.3100367174109537
keey,line_medial,44,45,0.0015512074739996475,0.0011852398135222693,1.3087709814521025
oiin,line_medial,34,35,0.0011986603208179094,0.0009218531882950984,1.3002724685855305
sheckhy,line_medial,34,35,0.0011986603208179094,0.0009218531882950984,1.3002724685855305
