token,overall_share,line_initial_share,line_medial_share,line_final_share,single_token_line_share
alam,0.00021070930018173676,0.0,3.5254715318173806e-05,0.0015927189988623437,0.0
alamchy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alar,0.0001580319751363026,0.0,0.00017627357659086903,0.00022753128555176336,0.0
alcfhy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alchd,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alchdy,5.267732504543419e-05,0.0,3.5254715318173806e-05,0.00022753128555176336,0.0
alched,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alchedar,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alchedy,0.00010535465009086838,0.0,0.00014101886127269522,0.0,0.0
alcheey,2.6338662522717095e-05,0.00022753128555176336,0.0,0.0,0.0
alcheky,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alches,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alchey,0.00010535465009086838,0.00022753128555176336,0.00010576414595452142,0.0,0.0
alchky,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alchl,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alchol,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alchor,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
alchy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
ald,7.90159875681513e-05,0.0,0.00010576414595452142,0.0,0.0
aldaiin,7.90159875681513e-05,0.0,0.00010576414595452142,0.0,0.0
aldalosam,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aldam,5.267732504543419e-05,0.0,3.5254715318173806e-05,0.00022753128555176336,0.0
aldar,7.90159875681513e-05,0.0,3.5254715318173806e-05,0.0004550625711035267,0.0
aldy,0.0003687412753180394,0.0,0.00024678300722721664,0.0015927189988623437,0.0
aldydy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aleedy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aleey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alekeey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alf,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alfo,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alfshed,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
